,Country or region,Score,Lat,Lng
127,Mali,4.39,16.3700359,-2.2900239
128,Sierra Leone,4.374,8.6400349,-11.8400269
129,Sri Lanka,4.3660000000000005,7.5554942,80.7137847
130,Myanmar,4.36,17.1750495,95.9999652
131,Chad,4.35,15.6134137,19.0156172
132,Ukraine,4.332,49.4871968,31.2718321
133,Ethiopia,4.2860000000000005,10.2116702,38.6521203
134,Swaziland,4.212,-26.5624806,31.3991317
135,Uganda,4.189,1.5333554,32.2166578
136,Egypt,4.166,26.2540493,29.2675469
137,Zambia,4.107,-14.5186239,27.5599164
138,Togo,4.085,8.7800265,1.0199765
139,India,4.015,22.3511148,78.6677428
140,Liberia,3.975,5.7499721,-9.3658524
141,Comoros,3.9730000000000003,-12.2045176,44.2832964
142,Madagascar,3.9330000000000003,-18.9249604,46.4416422
143,Lesotho,3.802,-29.6039267,28.3350193
144,Burundi,3.775,-3.3634357,29.8870575
145,Zimbabwe,3.6630000000000003,-18.4554963,29.7468414
146,Haiti,3.597,19.1399952,-72.3570972
147,Botswana,3.488,-23.1681782,24.5928742
148,Syria,3.4619999999999997,34.6401861,39.0494106
149,Malawi,3.41,-13.2687204,33.9301963
150,Yemen,3.38,16.3471243,47.8915271
151,Rwanda,3.3339999999999996,-1.9646631,30.0644358
152,Tanzania,3.2310000000000003,-6.5247123,35.7878438
153,Afghanistan,3.2030000000000003,33.7680065,66.2385139
154,Central African Republic,3.083,7.0323598,19.9981227
155,South Sudan,2.853,7.8699431,29.6667897
